0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,674.0,2.0,1,0,0.6778523489932886,155.56349186104046,110.0,0.0,0.0,0.0,0.0,2
84.0,5.0,1.50447751299378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,46.66666666666666,0.0,0.0,0.0,0.0,18.0,1060.0,0.0,0,0,0.6778523489932886,37.85498646149539,34.5,0.0,0.0,0.0,0.0,3
290.0,1.0,-1.000088900581841e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.6778523489932886,127.7967135727676,105.0,0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,12,1,0.6778523489932886,135.0,67.5,0.0,0.0,0.0,0.0,3
88.0,3.0,0.2164140891902277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.83333333333333,0.0,0.0,0.0,0.0,16.0,646.0,2.0,12,1,0.6778523489932886,127.283148923964,89.5,0.0,0.0,0.0,0.0,2
628.0,2.0,0.6495883168261518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,16.0,58.0,4.0,13,1,0.6778523489932886,302.19419804710566,179.0,0.0,0.0,0.0,0.0,2
10.0,3.0,0.9502705392302344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.4,0.0,0.0,0.0,0.0,32.0,152.0,4.0,13,1,0.6778523489932886,300.254891717021,181.5,0.0,0.0,0.0,0.0,2
10.0,3.0,1.054920167983144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.8,0.0,0.0,0.0,0.0,20.0,3290.0,12.0,14,1,0.6778523489932886,298.2750408599419,184.0,0.0,0.0,0.0,0.0,3
10.0,2.0,0.5004024235361879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,10.0,882.0,4.0,14,1,0.6778523489932886,309.0,164.5,0.0,0.0,0.0,0.0,3
10.0,1.0,-1.000088900581841e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,12.0,8.0,8.0,15,1,0.6778523489932886,0.0,10.0,0.0,0.0,0.0,0.0,4
10.0,3.0,1.054920167983144,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,67.8,0.0,0.0,0.0,0.0,40.0,740.0,8.0,15,1,0.6778523489932886,0.0,10.0,0.0,0.0,2.0,1.0,4
10.0,3.0,0.9502705392302344,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,65.2,0.0,0.0,0.0,0.0,44.0,194.0,12.0,16,1,0.6778523489932886,0.0,10.0,0.0,0.0,5.656854249492381,4.0,2
10.0,2.0,0.5004024235361879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.2,0.0,0.0,0.0,0.0,24.0,1100.0,6.0,16,1,0.6778523489932886,0.0,10.0,0.0,0.0,5.656854249492381,4.0,2
10.0,3.0,1.054920167983144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.8,0.0,0.0,0.0,0.0,12.0,2250.0,8.0,17,1,0.6778523489932886,0.0,10.0,0.0,0.0,5.656854249492381,4.0,3
10.0,4.0,1.3321790402061222,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,54.2,0.0,0.0,0.0,0.0,24.0,532.0,8.0,17,1,0.6778523489932886,0.0,10.0,0.0,0.0,5.656854249492381,4.0,2
